Protein,Protein ID,Control,Treatment,Difference
sp|Q66282|POLG_CXB3W,Q66282,0,163,163
sp|P04264|K2C1_HUMAN,P04264,8,24,16
sp|O43790|KRT86_HUMAN,O43790,0,13,13
sp|P04040|CATA_HUMAN,P04040,9,15,6
sp|P06396|GELS_HUMAN,P06396,7,13,6
sp|P69905|HBA_HUMAN,P69905,1,7,6
sp|Q9NSB2|KRT84_HUMAN,Q9NSB2,0,4,4
sp|P02788|TRFL_HUMAN,P02788,0,2,2
sp|Q92764|KRT35_HUMAN,Q92764,0,2,2
sp|P01112|RASH_HUMAN,P01112,3,4,1
sp|P63165|SUMO1_HUMAN,P63165,2,3,1
sp|P35908|K22E_HUMAN,P35908,3,4,1
sp|P01031|CO5_HUMAN,P01031,0,1,1
sp|P68871|HBB_HUMAN,P68871,0,1,1
sp|P35527|K1C9_HUMAN,P35527,0,1,1
sp|P51965|UB2E1_HUMAN,P51965,0,1,1
sp|P08263|GSTA1_HUMAN,P08263,0,1,1
sp|P00167|CYB5_HUMAN,P00167,8,8,0
sp|P12081|SYHC_HUMAN,P12081,14,14,0
sp|P13645|K1C10_HUMAN,P13645,4,4,0
sp|O00148|DX39A_HUMAN,O00148,1,0,-1
sp|O95208|EPN2_HUMAN,O95208,1,0,-1
sp|P16083|NQO2_HUMAN,P16083,3,2,-1
sp|P61769|B2MG_HUMAN,P61769,3,2,-1
sp|Q13724|MOGS_HUMAN,Q13724,1,0,-1
sp|Q14240|IF4A2_HUMAN,Q14240,1,0,-1
sp|Q15843|NEDD8_HUMAN,Q15843,4,3,-1
sp|Q709C8|VP13C_HUMAN,Q709C8,1,0,-1
sp|Q92805|GOGA1_HUMAN,Q92805,1,0,-1
sp|Q99747|SNAG_HUMAN,Q99747,1,0,-1
sp|Q9BQ52|RNZ2_HUMAN,Q9BQ52,1,0,-1
sp|Q9NX62|IMPA3_HUMAN,Q9NX62,1,0,-1
sp|Q9UBF2|COPG2_HUMAN,Q9UBF2,1,0,-1
sp|Q9UBU9|NXF1_HUMAN,Q9UBU9,1,0,-1
sp|O95169|NDUB8_HUMAN,O95169,1,0,-1
sp|P04156|PRIO_HUMAN,P04156,1,0,-1
sp|P04350|TBB4A_HUMAN,P04350,1,0,-1
sp|P27540|ARNT_HUMAN,P27540,1,0,-1
sp|P43155|CACP_HUMAN,P43155,1,0,-1
sp|Q13445|TMED1_HUMAN,Q13445,1,0,-1
sp|Q14318|FKBP8_HUMAN,Q14318,1,0,-1
sp|Q86SE5|RALYL_HUMAN,Q86SE5,1,0,-1
sp|Q8N983|RM43_HUMAN,Q8N983,1,0,-1
sp|Q8TCA0|LRC20_HUMAN,Q8TCA0,1,0,-1
sp|Q92930|RAB8B_HUMAN,Q92930,1,0,-1
sp|Q96DI7|SNR40_HUMAN,Q96DI7,1,0,-1
sp|Q96KB5|TOPK_HUMAN,Q96KB5,1,0,-1
sp|Q9BYD6|RM01_HUMAN,Q9BYD6,1,0,-1
sp|Q9NQ84|GPC5C_HUMAN,Q9NQ84,1,0,-1
sp|Q9NTX5|ECHD1_HUMAN,Q9NTX5,1,0,-1
sp|Q9NUG6|PDRG1_HUMAN,Q9NUG6,1,0,-1
sp|O94822|LTN1_HUMAN,O94822,1,0,-1
sp|Q15061|WDR43_HUMAN,Q15061,1,0,-1
sp|Q3KQU3|MA7D1_HUMAN,Q3KQU3,1,0,-1
sp|Q92733|PRCC_HUMAN,Q92733,1,0,-1
sp|Q9NRY4|RHG35_HUMAN,Q9NRY4,1,0,-1
sp|Q9ULJ8|NEB1_HUMAN,Q9ULJ8,1,0,-1
sp|O00267|SPT5H_HUMAN,O00267,1,0,-1
sp|O75376|NCOR1_HUMAN,O75376,1,0,-1
sp|P26232|CTNA2_HUMAN,P26232,1,0,-1
sp|P36873|PP1G_HUMAN,P36873,1,0,-1
sp|P62745|RHOB_HUMAN,P62745,1,0,-1
sp|P35609|ACTN2_HUMAN,P35609,1,0,-1
sp|P48426|PI42A_HUMAN,P48426,1,0,-1
sp|P60602|ROMO1_HUMAN,P60602,1,0,-1
sp|Q15526|SURF1_HUMAN,Q15526,1,0,-1
sp|Q712K3|UB2R2_HUMAN,Q712K3,1,0,-1
sp|O43924|PDE6D_HUMAN,O43924,1,0,-1
sp|P53680|AP2S1_HUMAN,P53680,1,0,-1
sp|Q10588|BST1_HUMAN,Q10588,1,0,-1
sp|Q8IVL0|NAV3_HUMAN,Q8IVL0,1,0,-1
sp|Q9BY67|CADM1_HUMAN,Q9BY67,1,0,-1
sp|Q9H3K2|GHITM_HUMAN,Q9H3K2,1,0,-1
sp|O75190|DNJB6_HUMAN,O75190,1,0,-1
sp|P63098|CANB1_HUMAN,P63098,1,0,-1
sp|Q13136|LIPA1_HUMAN,Q13136,1,0,-1
sp|Q86VN1|VPS36_HUMAN,Q86VN1,1,0,-1
sp|Q96J02|ITCH_HUMAN,Q96J02,1,0,-1
sp|O60684|IMA7_HUMAN,O60684,1,0,-1
sp|P09132|SRP19_HUMAN,P09132,1,0,-1
sp|P62256|UBE2H_HUMAN,P62256,1,0,-1
sp|P62834|RAP1A_HUMAN,P62834,1,0,-1
sp|Q13362|2A5G_HUMAN,Q13362,1,0,-1
sp|Q8NFH4|NUP37_HUMAN,Q8NFH4,1,0,-1
sp|Q8TAD7|OCC1_HUMAN,Q8TAD7,1,0,-1
sp|Q9P289|STK26_HUMAN,Q9P289,1,0,-1
sp|Q9UMZ2|SYNRG_HUMAN,Q9UMZ2,1,0,-1
sp|Q9Y3X0|CCDC9_HUMAN,Q9Y3X0,1,0,-1
sp|O60784|TOM1_HUMAN,O60784,1,0,-1
sp|P42830|CXCL5_HUMAN,P42830,1,0,-1
sp|Q86VI3|IQGA3_HUMAN,Q86VI3,1,0,-1
sp|Q8WUH6|TM263_HUMAN,Q8WUH6,1,0,-1
sp|P08047|SP1_HUMAN,P08047,1,0,-1
sp|P30536|TSPO_HUMAN,P30536,1,0,-1
sp|Q96GC5|RM48_HUMAN,Q96GC5,1,0,-1
sp|Q8NEU8|DP13B_HUMAN,Q8NEU8,1,0,-1
sp|P62877|RBX1_HUMAN,P62877,1,0,-1
sp|Q8N4P3|MESH1_HUMAN,Q8N4P3,1,0,-1
sp|Q96EY7|PTCD3_HUMAN,Q96EY7,1,0,-1
sp|Q9Y291|RT33_HUMAN,Q9Y291,1,0,-1
sp|O75251|NDUS7_HUMAN,O75251,1,0,-1
sp|P14209|CD99_HUMAN,P14209,1,0,-1
sp|P18615|NELFE_HUMAN,P18615,1,0,-1
sp|Q8NB37|GALD1_HUMAN,Q8NB37,1,0,-1
sp|Q15653|IKBB_HUMAN,Q15653,1,0,-1
sp|Q63ZY3|KANK2_HUMAN,Q63ZY3,1,0,-1
sp|Q96C90|PP14B_HUMAN,Q96C90,1,0,-1
sp|P09038|FGF2_HUMAN,P09038,1,0,-1
sp|Q16288|NTRK3_HUMAN,Q16288,1,0,-1
sp|P07738|PMGE_HUMAN,P07738,1,0,-1
sp|Q8WUF5|IASPP_HUMAN,Q8WUF5,1,0,-1
sp|Q9Y2R5|RT17_HUMAN,Q9Y2R5,1,0,-1
sp|Q9UFW8|CGBP1_HUMAN,Q9UFW8,1,0,-1
sp|Q9H1U4|MEGF9_HUMAN,Q9H1U4,1,0,-1
sp|Q8N0Z6|TTC5_HUMAN,Q8N0Z6,1,0,-1
sp|Q9BU61|NDUF3_HUMAN,Q9BU61,1,0,-1
sp|P51809|VAMP7_HUMAN,P51809,1,0,-1
sp|A6NJ78|MET15_HUMAN,A6NJ78,1,0,-1
sp|O43657|TSN6_HUMAN,O43657,1,0,-1
sp|Q13257|MD2L1_HUMAN,Q13257,1,0,-1
sp|Q7L266|ASGL1_HUMAN,Q7L266,1,0,-1
sp|O00584|RNT2_HUMAN,O00584,1,0,-1
sp|P33121|ACSL1_HUMAN,P33121,1,0,-1
sp|Q9NV96|CC50A_HUMAN,Q9NV96,1,0,-1
sp|Q6FIF0|ZFAN6_HUMAN,Q6FIF0,1,0,-1
sp|Q6VY07|PACS1_HUMAN,Q6VY07,1,0,-1
sp|Q8TF68|ZN384_HUMAN,Q8TF68,1,0,-1
sp|Q9H0C8|ILKAP_HUMAN,Q9H0C8,1,0,-1
sp|P13473|LAMP2_HUMAN,P13473,1,0,-1
sp|Q13951|PEBB_HUMAN,Q13951,1,0,-1
sp|Q9H078|CLPB_HUMAN,Q9H078,1,0,-1
sp|Q02978|M2OM_HUMAN,Q02978,1,0,-1
sp|A0AVT1|UBA6_HUMAN,A0AVT1,1,0,-1
sp|O43504|LTOR5_HUMAN,O43504,1,0,-1
sp|O43815|STRN_HUMAN,O43815,1,0,-1
sp|Q93074|MED12_HUMAN,Q93074,1,0,-1
sp|Q96BS2|CHP3_HUMAN,Q96BS2,1,0,-1
