Protein,Protein ID,Control,Treatment,Difference
sp|P68032|ACTC_HUMAN,P68032,17,201,184
sp|P21333-2|FLNA_HUMAN,P21333-2,0,183,183
sp|P07355-2|ANXA2_HUMAN,P07355-2,0,175,175
sp|Q15149-4|PLEC_HUMAN,Q15149-4,0,160,160
sp|O75369-8|FLNB_HUMAN,O75369-8,0,133,133
sp|P11413-2|G6PD_HUMAN,P11413-2,0,124,124
sp|P05787-2|K2C8_HUMAN,P05787-2,0,123,123
sp|P07437|TBB5_HUMAN,P07437,20,138,118
sp|P07900-2|HS90A_HUMAN,P07900-2,0,118,118
sp|Q13813-3|SPTN1_HUMAN,Q13813-3,0,113,113
sp|P02662|CASA1_BOVIN,P02662,0,112,112
sp|P04075-2|ALDOA_HUMAN,P04075-2,0,85,85
sp|Q00610-2|CLH1_HUMAN,Q00610-2,0,85,85
sp|P52209-2|6PGD_HUMAN,P52209-2,0,80,80
sp|P18206-2|VINC_HUMAN,P18206-2,0,74,74
sp|P78527|PRKDC_HUMAN,P78527,7,76,69
sp|P68366-2|TBA4A_HUMAN,P68366-2,0,66,66
sp|P60174-1|TPIS_HUMAN,P60174-1,0,65,65
sp|P00338-3|LDHA_HUMAN,P00338-3,0,58,58
sp|Q01082-3|SPTB2_HUMAN,Q01082-3,0,58,58
sp|P52272-2|HNRPM_HUMAN,P52272-2,0,54,54
sp|P06753-2|TPM3_HUMAN,P06753-2,0,52,52
sp|Q8WUM4-2|PDC6I_HUMAN,Q8WUM4-2,0,51,51
sp|Q8IVF2-3|AHNK2_HUMAN,Q8IVF2-3,0,50,50
sp|Q14204|DYHC1_HUMAN,Q14204,40,89,49
sp|P04406|G3P_HUMAN,P04406,99,144,45
sp|Q00839-2|HNRPU_HUMAN,Q00839-2,0,45,45
sp|P49327|FAS_HUMAN,P49327,72,115,43
sp|P08195-2|4F2_HUMAN,P08195-2,0,43,43
sp|P22314-2|UBA1_HUMAN,P22314-2,0,43,43
sp|P26641-2|EF1G_HUMAN,P26641-2,0,42,42
sp|P02666|CASB_BOVIN,P02666,0,41,41
sp|P17844-2|DDX5_HUMAN,P17844-2,0,41,41
sp|P22392-2|NDKB_HUMAN,P22392-2,0,41,41
sp|P31939-2|PUR9_HUMAN,P31939-2,0,40,40
sp|P37802-2|TAGL2_HUMAN,P37802-2,0,39,39
sp|P31327-3|CPSM_HUMAN,P31327-3,0,38,38
sp|Q14697-2|GANAB_HUMAN,Q14697-2,0,38,38
sp|P05783|K1C18_HUMAN,P05783,91,128,37
sp|P35221-2|CTNA1_HUMAN,P35221-2,0,37,37
sp|Q14980-2|NUMA1_HUMAN,Q14980-2,0,37,37
sp|Q16891-2|MIC60_HUMAN,Q16891-2,0,37,37
tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN,A0A1C7CYX9,0,37,37
sp|P02663|CASA2_BOVIN,P02663,0,35,35
sp|P50995-2|ANX11_HUMAN,P50995-2,0,35,35
sp|Q16881-2|TRXR1_HUMAN,Q16881-2,0,35,35
sp|O00410-3|IPO5_HUMAN,O00410-3,0,34,34
sp|P07910-2|HNRPC_HUMAN,P07910-2,0,34,34
sp|P55060-3|XPO2_HUMAN,P55060-3,0,34,34
sp|Q86UP2-4|KTN1_HUMAN,Q86UP2-4,0,34,34
sp|Q92598-2|HS105_HUMAN,Q92598-2,0,34,34
sp|P29692-2|EF1D_HUMAN,P29692-2,0,33,33
sp|P02668|CASK_BOVIN,P02668,0,31,31
sp|Q12906-7|ILF3_HUMAN,Q12906-7,0,31,31
sp|P00390-2|GSHR_HUMAN,P00390-2,0,30,30
sp|P55884-2|EIF3B_HUMAN,P55884-2,0,30,30
sp|P20810-10|ICAL_HUMAN,P20810-10,0,30,30
sp|O60716-11|CTND1_HUMAN,O60716-11,0,29,29
sp|P34897-3|GLYM_HUMAN,P34897-3,0,29,29
sp|Q01518-2|CAP1_HUMAN,Q01518-2,0,29,29
sp|Q14103-3|HNRPD_HUMAN,Q14103-3,0,29,29
sp|P05023-3|AT1A1_HUMAN,P05023-3,0,28,28
sp|P22234-2|PUR6_HUMAN,P22234-2,0,28,28
sp|P53621-2|COPA_HUMAN,P53621-2,0,27,27
sp|P63241-2|IF5A1_HUMAN,P63241-2,0,27,27
sp|Q14847-2|LASP1_HUMAN,Q14847-2,0,27,27
sp|P13639|EF2_HUMAN,P13639,58,84,26
sp|O43790|KRT86_HUMAN,O43790,0,26,26
sp|P00761|TRYP_PIG,P00761,0,26,26
sp|P20020-1|AT2B1_HUMAN,P20020-1,0,26,26
sp|P26599-2|PTBP1_HUMAN,P26599-2,0,26,26
sp|P27816-6|MAP4_HUMAN,P27816-6,0,26,26
sp|P60981-2|DEST_HUMAN,P60981-2,0,26,26
sp|P63010-2|AP2B1_HUMAN,P63010-2,0,26,26
sp|Q04637-8|IF4G1_HUMAN,Q04637-8,0,26,26
sp|Q14157-1|UBP2L_HUMAN,Q14157-1,0,26,26
sp|Q9NZM1-6|MYOF_HUMAN,Q9NZM1-6,0,26,26
sp|O14979-2|HNRDL_HUMAN,O14979-2,0,25,25
sp|O43795-2|MYO1B_HUMAN,O43795-2,0,25,25
sp|P25786-2|PSA1_HUMAN,P25786-2,0,25,25
sp|P06756-2|ITAV_HUMAN,P06756-2,0,24,24
sp|P07951-2|TPM2_HUMAN,P07951-2,0,24,24
sp|P27824-2|CALX_HUMAN,P27824-2,0,24,24
sp|P30048-2|PRDX3_HUMAN,P30048-2,0,24,24
sp|P40925-3|MDHC_HUMAN,P40925-3,0,24,24
sp|Q27J81-2|INF2_HUMAN,Q27J81-2,0,24,24
sp|P57053|H2BFS_HUMAN,P57053,2,25,23
sp|O00159-2|MYO1C_HUMAN,O00159-2,0,23,23
sp|O95831-3|AIFM1_HUMAN,O95831-3,0,23,23
sp|P08133-2|ANXA6_HUMAN,P08133-2,0,23,23
tr|A0A1W2PQM2|A0A1W2PQM2_HUMAN,A0A1W2PQM2,0,23,23
sp|P53396|ACLY_HUMAN,P53396,46,68,22
sp|P06899|H2B1J_HUMAN,P06899,6,28,22
sp|O94925-3|GLSK_HUMAN,O94925-3,0,22,22
sp|P14314-2|GLU2B_HUMAN,P14314-2,0,22,22
sp|P16070-10|CD44_HUMAN,P16070-10,0,22,22
sp|P49321-3|NASP_HUMAN,P49321-3,0,22,22
sp|Q14914-2|PTGR1_HUMAN,Q14914-2,0,22,22
