Protein,Protein ID,Control,Treatment,Difference
sp|Q9UMX5|NENF_HUMAN,Q9UMX5,8,4,-4
sp|Q9UPT5|EXOC7_HUMAN,Q9UPT5,9,5,-4
sp|Q9Y281|COF2_HUMAN,Q9Y281,9,5,-4
sp|Q9Y2H0|DLGP4_HUMAN,Q9Y2H0,4,0,-4
sp|Q9Y2T2|AP3M1_HUMAN,Q9Y2T2,4,0,-4
sp|Q9Y2X7|GIT1_HUMAN,Q9Y2X7,6,2,-4
sp|Q9Y2Z0|SGT1_HUMAN,Q9Y2Z0,7,3,-4
sp|Q9Y399|RT02_HUMAN,Q9Y399,7,3,-4
sp|Q9Y3C6|PPIL1_HUMAN,Q9Y3C6,6,2,-4
sp|Q9Y3F4|STRAP_HUMAN,Q9Y3F4,19,15,-4
sp|Q9Y3I0|RTCB_HUMAN,Q9Y3I0,18,14,-4
sp|Q9Y5X3|SNX5_HUMAN,Q9Y5X3,10,6,-4
sp|Q9Y608|LRRF2_HUMAN,Q9Y608,4,0,-4
sp|Q9Y696|CLIC4_HUMAN,Q9Y696,7,3,-4
sp|Q53FV1|ORML2_HUMAN,Q53FV1,4,0,-4
sp|A8K0Z3|WASH1_HUMAN,A8K0Z3,5,2,-3
sp|A8MWD9|RUXGL_HUMAN,A8MWD9,7,4,-3
sp|A9UHW6|MI4GD_HUMAN,A9UHW6,3,0,-3
sp|O00505|IMA4_HUMAN,O00505,3,0,-3
sp|O14497|ARI1A_HUMAN,O14497,3,0,-3
sp|O14618|CCS_HUMAN,O14618,3,0,-3
sp|O15014|ZN609_HUMAN,O15014,3,0,-3
sp|O15116|LSM1_HUMAN,O15116,3,0,-3
sp|O43324|MCA3_HUMAN,O43324,4,1,-3
sp|O43396|TXNL1_HUMAN,O43396,10,7,-3
sp|O43432|IF4G3_HUMAN,O43432,3,0,-3
sp|O43663|PRC1_HUMAN,O43663,3,0,-3
sp|O43665|RGS10_HUMAN,O43665,3,0,-3
sp|O43765|SGTA_HUMAN,O43765,5,2,-3
sp|O43809|CPSF5_HUMAN,O43809,8,5,-3
sp|O43813|LANC1_HUMAN,O43813,3,0,-3
sp|O43865|SAHH2_HUMAN,O43865,12,9,-3
sp|O60678|ANM3_HUMAN,O60678,3,0,-3
sp|O75312|ZPR1_HUMAN,O75312,3,0,-3
sp|O75348|VATG1_HUMAN,O75348,4,1,-3
sp|O75663|TIPRL_HUMAN,O75663,3,0,-3
sp|O75674|TM1L1_HUMAN,O75674,5,2,-3
sp|O75828|CBR3_HUMAN,O75828,3,0,-3
sp|O75884|RBBP9_HUMAN,O75884,3,0,-3
sp|O75915|PRAF3_HUMAN,O75915,5,2,-3
sp|O75934|SPF27_HUMAN,O75934,3,0,-3
sp|O75935|DCTN3_HUMAN,O75935,3,0,-3
sp|O76031|CLPX_HUMAN,O76031,9,6,-3
sp|O94760|DDAH1_HUMAN,O94760,3,0,-3
sp|O95295|SNAPN_HUMAN,O95295,3,0,-3
sp|O95347|SMC2_HUMAN,O95347,14,11,-3
sp|O95394|AGM1_HUMAN,O95394,4,1,-3
sp|O95639|CPSF4_HUMAN,O95639,3,0,-3
sp|O95816|BAG2_HUMAN,O95816,6,3,-3
sp|O96008|TOM40_HUMAN,O96008,11,8,-3
sp|O96019|ACL6A_HUMAN,O96019,4,1,-3
sp|P00568|KAD1_HUMAN,P00568,6,3,-3
sp|P01889|HLAB_HUMAN,P01889,4,1,-3
sp|P05121|PAI1_HUMAN,P05121,6,3,-3
sp|P05388|RLA0_HUMAN,P05388,22,19,-3
sp|P07311|ACYP1_HUMAN,P07311,3,0,-3
sp|P08579|RU2B_HUMAN,P08579,4,1,-3
sp|P08581|MET_HUMAN,P08581,3,0,-3
sp|P08962|CD63_HUMAN,P08962,6,3,-3
sp|P09661|RU2A_HUMAN,P09661,11,8,-3
sp|P0DMM9|ST1A3_HUMAN,P0DMM9,11,8,-3
sp|P10619|PPGB_HUMAN,P10619,5,2,-3
sp|P11586|C1TC_HUMAN,P11586,43,40,-3
sp|P12004|PCNA_HUMAN,P12004,25,22,-3
sp|P13645|K1C10_HUMAN,P13645,4,1,-3
sp|P13674|P4HA1_HUMAN,P13674,10,7,-3
sp|P13984|T2FB_HUMAN,P13984,3,0,-3
sp|P14174|MIF_HUMAN,P14174,9,6,-3
sp|P16144|ITB4_HUMAN,P16144,17,14,-3
sp|P16930|FAAA_HUMAN,P16930,4,1,-3
sp|P17931|LEG3_HUMAN,P17931,9,6,-3
sp|P18031|PTN1_HUMAN,P18031,7,4,-3
sp|P19224|UD16_HUMAN,P19224,9,6,-3
sp|P19388|RPAB1_HUMAN,P19388,4,1,-3
sp|P19623|SPEE_HUMAN,P19623,7,4,-3
sp|P24666|PPAC_HUMAN,P24666,10,7,-3
sp|P25774|CATS_HUMAN,P25774,4,1,-3
sp|P25789|PSA4_HUMAN,P25789,13,10,-3
sp|P26583|HMGB2_HUMAN,P26583,7,4,-3
sp|P26885|FKBP2_HUMAN,P26885,8,5,-3
sp|P28072|PSB6_HUMAN,P28072,6,3,-3
sp|P30520|PURA2_HUMAN,P30520,11,8,-3
sp|P30533|AMRP_HUMAN,P30533,10,7,-3
sp|P33176|KINH_HUMAN,P33176,21,18,-3
sp|P35237|SPB6_HUMAN,P35237,13,10,-3
sp|P35244|RFA3_HUMAN,P35244,5,2,-3
sp|P35659|DEK_HUMAN,P35659,10,7,-3
sp|P35754|GLRX1_HUMAN,P35754,6,3,-3
sp|P36639|8ODP_HUMAN,P36639,3,0,-3
sp|P36954|RPB9_HUMAN,P36954,3,0,-3
sp|P37198|NUP62_HUMAN,P37198,5,2,-3
sp|P41240|CSK_HUMAN,P41240,5,2,-3
sp|P41252|SYIC_HUMAN,P41252,16,13,-3
sp|P46937|YAP1_HUMAN,P46937,3,0,-3
sp|P47755|CAZA2_HUMAN,P47755,7,4,-3
sp|P49006|MRP_HUMAN,P49006,4,1,-3
sp|P49720|PSB3_HUMAN,P49720,7,4,-3
sp|P49903|SPS1_HUMAN,P49903,3,0,-3
sp|P50579|MAP2_HUMAN,P50579,8,5,-3
sp|P50895|BCAM_HUMAN,P50895,3,0,-3
sp|P51114|FXR1_HUMAN,P51114,7,4,-3
sp|P51116|FXR2_HUMAN,P51116,3,0,-3
sp|P52943|CRIP2_HUMAN,P52943,9,6,-3
sp|P53041|PPP5_HUMAN,P53041,8,5,-3
sp|P53582|MAP11_HUMAN,P53582,6,3,-3
sp|P53611|PGTB2_HUMAN,P53611,3,0,-3
sp|P53634|CATC_HUMAN,P53634,10,7,-3
sp|P55769|NH2L1_HUMAN,P55769,8,5,-3
sp|P56381|ATP5E_HUMAN,P56381,3,0,-3
sp|P56945|BCAR1_HUMAN,P56945,3,0,-3
sp|P57105|SYJ2B_HUMAN,P57105,3,0,-3
sp|P60228|EIF3E_HUMAN,P60228,16,13,-3
sp|P60891|PRPS1_HUMAN,P60891,8,5,-3
sp|P60953|CDC42_HUMAN,P60953,7,4,-3
sp|P61106|RAB14_HUMAN,P61106,13,10,-3
sp|P61758|PFD3_HUMAN,P61758,6,3,-3
sp|P62081|RS7_HUMAN,P62081,15,12,-3
sp|P62280|RS11_HUMAN,P62280,16,13,-3
sp|P62942|FKB1A_HUMAN,P62942,10,7,-3
sp|P67775|PP2AA_HUMAN,P67775,13,10,-3
sp|P68402|PA1B2_HUMAN,P68402,5,2,-3
sp|P78330|SERB_HUMAN,P78330,6,3,-3
sp|P78537|BL1S1_HUMAN,P78537,3,0,-3
sp|P84103|SRSF3_HUMAN,P84103,15,12,-3
sp|Q00059|TFAM_HUMAN,Q00059,10,7,-3
sp|Q00535|CDK5_HUMAN,Q00535,3,0,-3
sp|Q00765|REEP5_HUMAN,Q00765,6,3,-3
sp|Q03154|ACY1_HUMAN,Q03154,3,0,-3
sp|Q04446|GLGB_HUMAN,Q04446,9,6,-3
sp|Q05048|CSTF1_HUMAN,Q05048,5,2,-3
sp|Q05639|EF1A2_HUMAN,Q05639,10,7,-3
sp|Q07812|BAX_HUMAN,Q07812,10,7,-3
sp|Q12846|STX4_HUMAN,Q12846,4,1,-3
sp|Q12849|GRSF1_HUMAN,Q12849,7,4,-3
sp|Q13188|STK3_HUMAN,Q13188,3,0,-3
sp|Q13347|EIF3I_HUMAN,Q13347,13,10,-3
sp|Q13510|ASAH1_HUMAN,Q13510,9,6,-3
sp|Q13564|ULA1_HUMAN,Q13564,3,0,-3
sp|Q13630|FCL_HUMAN,Q13630,4,1,-3
sp|Q13740|CD166_HUMAN,Q13740,11,8,-3
sp|Q14011|CIRBP_HUMAN,Q14011,3,0,-3
sp|Q14166|TTL12_HUMAN,Q14166,3,0,-3
sp|Q14203|DCTN1_HUMAN,Q14203,12,9,-3
sp|Q14247|SRC8_HUMAN,Q14247,24,21,-3
sp|Q14558|KPRA_HUMAN,Q14558,3,0,-3
sp|Q15005|SPCS2_HUMAN,Q15005,13,10,-3
sp|Q15007|FL2D_HUMAN,Q15007,3,0,-3
sp|Q15084|PDIA6_HUMAN,Q15084,27,24,-3
sp|Q15369|ELOC_HUMAN,Q15369,9,6,-3
sp|Q15427|SF3B4_HUMAN,Q15427,3,0,-3
sp|Q15434|RBMS2_HUMAN,Q15434,3,0,-3
sp|Q15631|TSN_HUMAN,Q15631,5,2,-3
sp|Q15714|T22D1_HUMAN,Q15714,3,0,-3
sp|Q15813|TBCE_HUMAN,Q15813,6,3,-3
sp|Q2TAA2|IAH1_HUMAN,Q2TAA2,3,0,-3
sp|Q3KQV9|UAP1L_HUMAN,Q3KQV9,3,0,-3
sp|Q3ZAQ7|VMA21_HUMAN,Q3ZAQ7,3,0,-3
sp|Q53HC9|EIPR1_HUMAN,Q53HC9,3,0,-3
sp|Q5VW32|BROX_HUMAN,Q5VW32,3,0,-3
sp|Q6DD87|ZN787_HUMAN,Q6DD87,3,0,-3
sp|Q6GMV3|PTRD1_HUMAN,Q6GMV3,4,1,-3
sp|Q6IAA8|LTOR1_HUMAN,Q6IAA8,5,2,-3
sp|Q6P1N9|TATD1_HUMAN,Q6P1N9,5,2,-3
sp|Q6PJT7|ZC3HE_HUMAN,Q6PJT7,3,0,-3
sp|Q7L5N1|CSN6_HUMAN,Q7L5N1,6,3,-3
sp|Q7LBR1|CHM1B_HUMAN,Q7LBR1,4,1,-3
sp|Q7Z417|NUFP2_HUMAN,Q7Z417,4,1,-3
sp|Q7Z4H3|HDDC2_HUMAN,Q7Z4H3,3,0,-3
sp|Q7Z4H7|HAUS6_HUMAN,Q7Z4H7,3,0,-3
sp|Q7Z6K5|ARPIN_HUMAN,Q7Z6K5,3,0,-3
sp|Q7Z7H5|TMED4_HUMAN,Q7Z7H5,5,2,-3
sp|Q86T03|PP4P1_HUMAN,Q86T03,3,0,-3
sp|Q86TB9|PATL1_HUMAN,Q86TB9,3,0,-3
sp|Q86UK7|ZN598_HUMAN,Q86UK7,3,0,-3
sp|Q86V48|LUZP1_HUMAN,Q86V48,4,1,-3
sp|Q86V81|THOC4_HUMAN,Q86V81,12,9,-3
sp|Q86VS8|HOOK3_HUMAN,Q86VS8,4,1,-3
sp|Q8IY67|RAVR1_HUMAN,Q8IY67,3,0,-3
sp|Q8N128|F177A_HUMAN,Q8N128,3,0,-3
sp|Q8N6T3|ARFG1_HUMAN,Q8N6T3,3,0,-3
sp|Q8NEZ5|FBX22_HUMAN,Q8NEZ5,3,0,-3
sp|Q8NFV4|ABHDB_HUMAN,Q8NFV4,4,1,-3
sp|Q8TB03|CX038_HUMAN,Q8TB03,3,0,-3
sp|Q8TCZ2|C99L2_HUMAN,Q8TCZ2,4,1,-3
sp|Q8TD16|BICD2_HUMAN,Q8TD16,3,0,-3
sp|Q8TF74|WIPF2_HUMAN,Q8TF74,3,0,-3
sp|Q8WVM8|SCFD1_HUMAN,Q8WVM8,6,3,-3
sp|Q8WVY7|UBCP1_HUMAN,Q8WVY7,3,0,-3
sp|Q8WW12|PCNP_HUMAN,Q8WW12,6,3,-3
sp|Q8WWH5|TRUB1_HUMAN,Q8WWH5,4,1,-3
sp|Q8WXI9|P66B_HUMAN,Q8WXI9,3,0,-3
sp|Q8WXX5|DNJC9_HUMAN,Q8WXX5,7,4,-3
sp|Q8WZA9|IRGQ_HUMAN,Q8WZA9,3,0,-3
sp|Q92572|AP3S1_HUMAN,Q92572,3,0,-3
sp|Q92769|HDAC2_HUMAN,Q92769,3,0,-3
sp|Q92820|GGH_HUMAN,Q92820,5,2,-3
sp|Q92917|GPKOW_HUMAN,Q92917,3,0,-3
sp|Q93099|HGD_HUMAN,Q93099,3,0,-3
sp|Q969G3|SMCE1_HUMAN,Q969G3,5,2,-3
sp|Q96A26|F162A_HUMAN,Q96A26,8,5,-3
sp|Q96DB5|RMD1_HUMAN,Q96DB5,3,0,-3
sp|Q96DG6|CMBL_HUMAN,Q96DG6,4,1,-3
sp|Q96DZ1|ERLEC_HUMAN,Q96DZ1,6,3,-3
sp|Q96G28|CFA36_HUMAN,Q96G28,3,0,-3
sp|Q96GA7|SDSL_HUMAN,Q96GA7,3,0,-3
sp|Q96I25|SPF45_HUMAN,Q96I25,5,2,-3
sp|Q96IZ0|PAWR_HUMAN,Q96IZ0,5,2,-3
sp|Q96P70|IPO9_HUMAN,Q96P70,4,1,-3
sp|Q96PU8|QKI_HUMAN,Q96PU8,3,0,-3
sp|Q99538|LGMN_HUMAN,Q99538,3,0,-3
sp|Q99614|TTC1_HUMAN,Q99614,3,0,-3
sp|Q9BPX5|ARP5L_HUMAN,Q9BPX5,3,0,-3
sp|Q9BR61|ACBD6_HUMAN,Q9BR61,3,0,-3
sp|Q9BR76|COR1B_HUMAN,Q9BR76,9,6,-3
sp|Q9BRF8|CPPED_HUMAN,Q9BRF8,5,2,-3
sp|Q9BRP8|PYM1_HUMAN,Q9BRP8,5,2,-3
sp|Q9BUH6|PAXX_HUMAN,Q9BUH6,3,0,-3
sp|Q9BV36|MELPH_HUMAN,Q9BV36,4,1,-3
sp|Q9BW91|NUDT9_HUMAN,Q9BW91,5,2,-3
sp|Q9GZY8|MFF_HUMAN,Q9GZY8,4,1,-3
sp|Q9H1B7|I2BPL_HUMAN,Q9H1B7,3,0,-3
sp|Q9H4A6|GOLP3_HUMAN,Q9H4A6,5,2,-3
sp|Q9H9Q2|CSN7B_HUMAN,Q9H9Q2,3,0,-3
sp|Q9HB40|RISC_HUMAN,Q9HB40,7,4,-3
sp|Q9HBL7|PLRKT_HUMAN,Q9HBL7,7,4,-3
sp|Q9HC52|CBX8_HUMAN,Q9HC52,3,0,-3
sp|Q9HCC0|MCCB_HUMAN,Q9HCC0,12,9,-3
sp|Q9NPA3|M1IP1_HUMAN,Q9NPA3,3,0,-3
sp|Q9NPQ8|RIC8A_HUMAN,Q9NPQ8,5,2,-3
sp|Q9NQ88|TIGAR_HUMAN,Q9NQ88,4,1,-3
sp|Q9NQT4|EXOS5_HUMAN,Q9NQT4,5,2,-3
sp|Q9NR12|PDLI7_HUMAN,Q9NR12,5,2,-3
sp|Q9NRF9|DPOE3_HUMAN,Q9NRF9,3,0,-3
sp|Q9NRW7|VPS45_HUMAN,Q9NRW7,3,0,-3
sp|Q9NVD7|PARVA_HUMAN,Q9NVD7,4,1,-3
sp|Q9NVX2|NLE1_HUMAN,Q9NVX2,3,0,-3
sp|Q9NW64|RBM22_HUMAN,Q9NW64,3,0,-3
sp|Q9NZT2|OGFR_HUMAN,Q9NZT2,4,1,-3
sp|Q9P2K5|MYEF2_HUMAN,Q9P2K5,4,1,-3
sp|Q9UBF6|RBX2_HUMAN,Q9UBF6,3,0,-3
sp|Q9UBG0|MRC2_HUMAN,Q9UBG0,6,3,-3
sp|Q9UBR2|CATZ_HUMAN,Q9UBR2,6,3,-3
sp|Q9UBU8|MO4L1_HUMAN,Q9UBU8,3,0,-3
sp|Q9UBW8|CSN7A_HUMAN,Q9UBW8,3,0,-3
sp|Q9UHD9|UBQL2_HUMAN,Q9UHD9,3,0,-3
sp|Q9UJ72|ANX10_HUMAN,Q9UJ72,3,0,-3
sp|Q9UK45|LSM7_HUMAN,Q9UK45,4,1,-3
sp|Q9UK76|JUPI1_HUMAN,Q9UK76,4,1,-3
sp|Q9UKB3|DJC12_HUMAN,Q9UKB3,3,0,-3
sp|Q9UKK9|NUDT5_HUMAN,Q9UKK9,6,3,-3
sp|Q9UNS2|CSN3_HUMAN,Q9UNS2,7,4,-3
sp|Q9Y237|PIN4_HUMAN,Q9Y237,4,1,-3
sp|Q9Y333|LSM2_HUMAN,Q9Y333,4,1,-3
sp|Q9Y376|CAB39_HUMAN,Q9Y376,4,1,-3
sp|Q9Y3A3|PHOCN_HUMAN,Q9Y3A3,3,0,-3
sp|Q9Y3B2|EXOS1_HUMAN,Q9Y3B2,5,2,-3
sp|Q9Y3B7|RM11_HUMAN,Q9Y3B7,9,6,-3
sp|Q9Y3C8|UFC1_HUMAN,Q9Y3C8,3,0,-3
sp|Q9Y3D0|CIA2B_HUMAN,Q9Y3D0,3,0,-3
sp|Q9Y446|PKP3_HUMAN,Q9Y446,5,2,-3
sp|Q9Y4Z0|LSM4_HUMAN,Q9Y4Z0,3,0,-3
sp|Q9Y5K5|UCHL5_HUMAN,Q9Y5K5,8,5,-3
sp|Q9Y5Y2|NUBP2_HUMAN,Q9Y5Y2,3,0,-3
sp|Q9Y6K9|NEMO_HUMAN,Q9Y6K9,4,1,-3
sp|O15400|STX7_HUMAN,O15400,3,0,-3
sp|O75175|CNOT3_HUMAN,O75175,3,0,-3
sp|P06454|PTMA_HUMAN,P06454,4,1,-3
sp|P16455|MGMT_HUMAN,P16455,3,0,-3
sp|P41236|IPP2_HUMAN,P41236,3,0,-3
sp|P49247|RPIA_HUMAN,P49247,3,0,-3
sp|Q16527|CSRP2_HUMAN,Q16527,3,0,-3
sp|Q96JJ7|TMX3_HUMAN,Q96JJ7,3,0,-3
sp|P35908|K22E_HUMAN,P35908,3,0,-3
sp|O14530|TXND9_HUMAN,O14530,3,0,-3
sp|P56211|ARP19_HUMAN,P56211,3,0,-3
sp|A0A0B4J2A2|PAL4C_HUMAN,A0A0B4J2A2,4,2,-2
sp|B5ME19|EIFCL_HUMAN,B5ME19,17,15,-2
sp|O00115|DNS2A_HUMAN,O00115,2,0,-2
sp|O00154|BACH_HUMAN,O00154,6,4,-2
sp|O00264|PGRC1_HUMAN,O00264,15,13,-2
sp|O00273|DFFA_HUMAN,O00273,2,0,-2
sp|O00468|AGRIN_HUMAN,O00468,7,5,-2
sp|O00560|SDCB1_HUMAN,O00560,8,6,-2
sp|O00625|PIR_HUMAN,O00625,4,2,-2
sp|O00764|PDXK_HUMAN,O00764,6,4,-2
sp|O15355|PPM1G_HUMAN,O15355,11,9,-2
sp|O15446|RPA34_HUMAN,O15446,2,0,-2
sp|O15511|ARPC5_HUMAN,O15511,5,3,-2
sp|O43251|RFOX2_HUMAN,O43251,2,0,-2
sp|O43399|TPD54_HUMAN,O43399,5,3,-2
sp|O43464|HTRA2_HUMAN,O43464,3,1,-2
sp|O43488|ARK72_HUMAN,O43488,7,5,-2
sp|O43598|DNPH1_HUMAN,O43598,3,1,-2
sp|O43678|NDUA2_HUMAN,O43678,3,1,-2
sp|O43776|SYNC_HUMAN,O43776,17,15,-2
sp|O43852|CALU_HUMAN,O43852,13,11,-2
sp|O60232|ZNRD2_HUMAN,O60232,3,1,-2
sp|O60443|GSDME_HUMAN,O60443,3,1,-2
sp|O60502|OGA_HUMAN,O60502,2,0,-2
sp|O60841|IF2P_HUMAN,O60841,8,6,-2
sp|O75122|CLAP2_HUMAN,O75122,2,0,-2
sp|O75153|CLU_HUMAN,O75153,12,10,-2
sp|O75208|COQ9_HUMAN,O75208,2,0,-2
sp|O75223|GGCT_HUMAN,O75223,3,1,-2
sp|O75340|PDCD6_HUMAN,O75340,9,7,-2
sp|O75391|SPAG7_HUMAN,O75391,2,0,-2
sp|O75431|MTX2_HUMAN,O75431,4,2,-2
sp|O75909|CCNK_HUMAN,O75909,2,0,-2
sp|O94855|SC24D_HUMAN,O94855,2,0,-2
sp|O95168|NDUB4_HUMAN,O95168,7,5,-2
sp|O95298|NDUC2_HUMAN,O95298,3,1,-2
sp|O95372|LYPA2_HUMAN,O95372,2,0,-2
sp|O95400|CD2B2_HUMAN,O95400,3,1,-2
sp|O95453|PARN_HUMAN,O95453,3,1,-2
sp|O95758|PTBP3_HUMAN,O95758,12,10,-2
sp|O95793|STAU1_HUMAN,O95793,7,5,-2
sp|O95834|EMAL2_HUMAN,O95834,2,0,-2
sp|O95861|BPNT1_HUMAN,O95861,6,4,-2
sp|O96000|NDUBA_HUMAN,O96000,9,7,-2
sp|O96005|CLPT1_HUMAN,O96005,6,4,-2
sp|O96011|PX11B_HUMAN,O96011,2,0,-2
sp|P00374|DYR_HUMAN,P00374,2,0,-2
sp|P00533|EGFR_HUMAN,P00533,19,17,-2
sp|P04179|SODM_HUMAN,P04179,11,9,-2
sp|P04181|OAT_HUMAN,P04181,8,6,-2
sp|P04264|K2C1_HUMAN,P04264,8,6,-2
sp|P04439|HLAA_HUMAN,P04439,5,3,-2
sp|P05204|HMGN2_HUMAN,P05204,2,0,-2
sp|P06132|DCUP_HUMAN,P06132,2,0,-2
sp|P06730|IF4E_HUMAN,P06730,5,3,-2
sp|P07384|CAN1_HUMAN,P07384,11,9,-2
sp|P07437|TBB5_HUMAN,P07437,19,17,-2
sp|P08243|ASNS_HUMAN,P08243,6,4,-2
sp|P08397|HEM3_HUMAN,P08397,3,1,-2
sp|P08574|CY1_HUMAN,P08574,5,3,-2
sp|P0C0S5|H2AZ_HUMAN,P0C0S5,6,4,-2
sp|P10606|COX5B_HUMAN,P10606,11,9,-2
sp|P11117|PPAL_HUMAN,P11117,4,2,-2
sp|P11441|UBL4A_HUMAN,P11441,2,0,-2
sp|P12081|SYHC_HUMAN,P12081,14,12,-2
sp|P12694|ODBA_HUMAN,P12694,5,3,-2
sp|P12830|CADH1_HUMAN,P12830,6,4,-2
sp|P12931|SRC_HUMAN,P12931,10,8,-2
sp|P13073|COX41_HUMAN,P13073,15,13,-2
sp|P14406|CX7A2_HUMAN,P14406,4,2,-2
sp|P15291|B4GT1_HUMAN,P15291,3,1,-2
sp|P15374|UCHL3_HUMAN,P15374,3,1,-2
sp|P17987|TCPA_HUMAN,P17987,26,24,-2
sp|P18887|XRCC1_HUMAN,P18887,3,1,-2
sp|P19022|CADH2_HUMAN,P19022,3,1,-2
sp|P19404|NDUV2_HUMAN,P19404,8,6,-2
sp|P19838|NFKB1_HUMAN,P19838,3,1,-2
sp|P21912|SDHB_HUMAN,P21912,10,8,-2
sp|P21964|COMT_HUMAN,P21964,4,2,-2
sp|P22059|OSBP1_HUMAN,P22059,5,3,-2
sp|P23229|ITA6_HUMAN,P23229,16,14,-2
sp|P28676|GRAN_HUMAN,P28676,3,1,-2
sp|P29966|MARCS_HUMAN,P29966,9,7,-2
sp|P30044|PRDX5_HUMAN,P30044,16,14,-2
sp|P30048|PRDX3_HUMAN,P30048,21,19,-2
sp|P30050|RL12_HUMAN,P30050,20,18,-2
sp|P30405|PPIF_HUMAN,P30405,5,3,-2
sp|P30626|SORCN_HUMAN,P30626,8,6,-2
sp|P35269|T2FA_HUMAN,P35269,2,0,-2
sp|P35813|PPM1A_HUMAN,P35813,3,1,-2
sp|P37268|FDFT_HUMAN,P37268,9,7,-2
sp|P40121|CAPG_HUMAN,P40121,6,4,-2
sp|P40123|CAP2_HUMAN,P40123,3,1,-2
sp|P42126|ECI1_HUMAN,P42126,7,5,-2
sp|P43487|RANG_HUMAN,P43487,9,7,-2
sp|P46063|RECQ1_HUMAN,P46063,8,6,-2
sp|P47736|RPGP1_HUMAN,P47736,2,0,-2
sp|P47897|SYQ_HUMAN,P47897,15,13,-2
sp|P48449|LSS_HUMAN,P48449,4,2,-2
sp|P48507|GSH0_HUMAN,P48507,7,5,-2
sp|P48509|CD151_HUMAN,P48509,5,3,-2
sp|P49023|PAXI_HUMAN,P49023,6,4,-2
sp|P49366|DHYS_HUMAN,P49366,2,0,-2
sp|P49585|PCY1A_HUMAN,P49585,3,1,-2
sp|P49643|PRI2_HUMAN,P49643,2,0,-2
sp|P50402|EMD_HUMAN,P50402,5,3,-2
sp|P51153|RAB13_HUMAN,P51153,5,3,-2
sp|P51452|DUS3_HUMAN,P51452,5,3,-2
sp|P51553|IDH3G_HUMAN,P51553,4,2,-2
sp|P51572|BAP31_HUMAN,P51572,13,11,-2
sp|P51692|STA5B_HUMAN,P51692,2,0,-2
sp|P55060|XPO2_HUMAN,P55060,24,22,-2
sp|P55327|TPD52_HUMAN,P55327,6,4,-2
sp|P55789|ALR_HUMAN,P55789,2,0,-2
sp|P56192|SYMC_HUMAN,P56192,14,12,-2
sp|P56537|IF6_HUMAN,P56537,8,6,-2
sp|P59998|ARPC4_HUMAN,P59998,6,4,-2
sp|P60880|SNP25_HUMAN,P60880,2,0,-2
sp|P60983|GMFB_HUMAN,P60983,4,2,-2
sp|P61011|SRP54_HUMAN,P61011,11,9,-2
sp|P61803|DAD1_HUMAN,P61803,4,2,-2
sp|P61981|1433G_HUMAN,P61981,11,9,-2
sp|P62253|UB2G1_HUMAN,P62253,2,0,-2
sp|P62266|RS23_HUMAN,P62266,8,6,-2
sp|P62306|RUXF_HUMAN,P62306,7,5,-2
sp|P62312|LSM6_HUMAN,P62312,4,2,-2
sp|P63272|SPT4H_HUMAN,P63272,2,0,-2
sp|P80303|NUCB2_HUMAN,P80303,9,7,-2
