Protein,Protein ID,Control,Treatment,Difference
sp|P60709|ACTB_HUMAN,P60709,369,0,-369
sp|P00352|AL1A1_HUMAN,P00352,220,0,-220
sp|P21333|FLNA_HUMAN,P21333,192,0,-192
sp|P07355|ANXA2_HUMAN,P07355,182,0,-182
sp|Q09666|AHNK_HUMAN,Q09666,169,0,-169
sp|O60218|AK1BA_HUMAN,O60218,155,0,-155
sp|P35579|MYH9_HUMAN,P35579,151,0,-151
sp|P68371|TBB4B_HUMAN,P68371,150,0,-150
sp|P04406|G3P_HUMAN,P04406,143,0,-143
sp|P14618|KPYM_HUMAN,P14618,143,0,-143
sp|P11413|G6PD_HUMAN,P11413,139,0,-139
sp|P06733|ENOA_HUMAN,P06733,134,0,-134
sp|O75369|FLNB_HUMAN,O75369,129,0,-129
sp|P42330|AK1C3_HUMAN,P42330,126,0,-126
sp|P05787|K2C8_HUMAN,P05787,118,0,-118
sp|P29401|TKT_HUMAN,P29401,118,0,-118
sp|P49327|FAS_HUMAN,P49327,117,0,-117
sp|P11142|HSP7C_HUMAN,P11142,114,0,-114
sp|O43707|ACTN4_HUMAN,O43707,112,0,-112
sp|P10809|CH60_HUMAN,P10809,111,0,-111
sp|P07900|HS90A_HUMAN,P07900,108,0,-108
sp|Q9Y490|TLN1_HUMAN,Q9Y490,108,0,-108
sp|P04083|ANXA1_HUMAN,P04083,105,0,-105
sp|P30838|AL3A1_HUMAN,P30838,105,0,-105
sp|P05783|K1C18_HUMAN,P05783,104,0,-104
sp|P00558|PGK1_HUMAN,P00558,103,0,-103
sp|Q15149|PLEC_HUMAN,Q15149,98,0,-98
sp|P11021|BIP_HUMAN,P11021,90,0,-90
sp|P38646|GRP75_HUMAN,P38646,80,0,-80
sp|P04075|ALDOA_HUMAN,P04075,79,0,-79
sp|Q9BQE3|TBA1C_HUMAN,Q9BQE3,78,0,-78
sp|P07237|PDIA1_HUMAN,P07237,75,0,-75
sp|P08238|HS90B_HUMAN,P08238,75,0,-75
sp|P13639|EF2_HUMAN,P13639,75,0,-75
sp|Q00610|CLH1_HUMAN,Q00610,75,0,-75
sp|P06744|G6PI_HUMAN,P06744,73,0,-73
sp|P18206|VINC_HUMAN,P18206,73,0,-73
sp|P31948|STIP1_HUMAN,P31948,73,0,-73
sp|P22626|ROA2_HUMAN,P22626,72,0,-72
sp|P52209|6PGD_HUMAN,P52209,72,0,-72
sp|P52272|HNRPM_HUMAN,P52272,72,0,-72
sp|P08670|VIME_HUMAN,P08670,71,0,-71
sp|Q14204|DYHC1_HUMAN,Q14204,71,0,-71
sp|P68104|EF1A1_HUMAN,P68104,70,0,-70
sp|P02545|LMNA_HUMAN,P02545,69,0,-69
sp|P53396|ACLY_HUMAN,P53396,68,0,-68
sp|P00338|LDHA_HUMAN,P00338,66,0,-66
sp|P60174|TPIS_HUMAN,P60174,66,0,-66
sp|P63104|1433Z_HUMAN,P63104,66,0,-66
sp|P09651|ROA1_HUMAN,P09651,65,0,-65
sp|P07737|PROF1_HUMAN,P07737,63,0,-63
sp|P09525|ANXA4_HUMAN,P09525,63,0,-63
sp|P14625|ENPL_HUMAN,P14625,62,0,-62
sp|P0DMV8|HS71A_HUMAN,P0DMV8,61,0,-61
sp|P26038|MOES_HUMAN,P26038,61,0,-61
sp|P08729|K2C7_HUMAN,P08729,60,0,-60
sp|P25705|ATPA_HUMAN,P25705,60,0,-60
sp|P52895|AK1C2_HUMAN,P52895,59,0,-59
sp|O60701|UGDH_HUMAN,O60701,58,0,-58
sp|P55072|TERA_HUMAN,P55072,58,0,-58
sp|P06576|ATPB_HUMAN,P06576,56,0,-56
sp|P15121|ALDR_HUMAN,P15121,55,0,-55
sp|P40926|MDHM_HUMAN,P40926,55,0,-55
