file	sample	condition	replicate	sample_name
D:\Data\Lucy\20230913_astrolysis_Exploris\97_Lucy_astrolysis_F_60ng.raw	97_Lucy_astrolysis_F_60ng	F	1	Female
D:\Data\Lucy\20230913_astrolysis_Exploris\96_Lucy_astrolysis_M_60ng.raw	96_Lucy_astrolysis_M_60ng	M	2	Male
D:\Data\Lucy\20230913_astrolysis_Exploris\102_Lucy_astrolysis_FT_60ng_reinject.raw	102_Lucy_astrolysis_FT_60ng_reinject	FT	3	Female Test
