ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
STK33	0.5551853043976535	12.293922563903703	4.710353828485405	4.2873700654959105e-4	0.003739985607114254	-1.0461481391816037
PECR	0.562888908644356	11.619515712991257	4.710054546945065	4.2896581735192427e-4	0.003739985607114254	-1.0467012994590101
RM55	0.26699047429912554	15.803467554496017	4.687218616200783	4.468046928214443e-4	0.003862088151557817	-1.0889371155228327
RAB31	0.4472733542507389	16.401351495896407	4.687044709417526	4.469434661697358e-4	0.003862088151557817	-1.0892589755193915
NEUL	0.3448863391666	16.037001385884615	4.684685922498715	4.4883015292500073e-4	0.003874086680685605	-1.093624845399229
STX12	0.2373012464965823	16.841590348613657	4.67939083906238	4.5309567162493013e-4	0.0038986427915843414	-1.1034276476117784
IFFO2	0.5313386024313708	13.327279132520882	4.679287914539259	4.5317900007615334e-4	0.0038986427915843414	-1.1036182215247345
TXND9	0.29389522747323715	16.260013453619923	4.6758684827042405	4.5595647417607594e-4	0.003918202762063362	-1.1099502417331282
GSDMD	0.45206821324513646	13.78946248139303	4.671877781343435	4.592203616115037e-4	0.003941894870036053	-1.1173416891643795
ZWINT	0.8198912182699879	12.060751612178743	4.670936346276808	4.5999387093343606e-4	0.003944181184398382	-1.1190856299075937
PACC1	0.5535289061024177	13.345469456604702	4.6549214005934365	4.7336171664099524e-4	0.004026358055915035	-1.1487664617943842
COA4	1.4438917116777805	11.630204018366031	4.651006084180972	4.7669088772049335e-4	0.0040467289131951335	-1.1560268934282991
STMN1	0.3121280985273212	18.288154265440458	4.650460111632746	4.7715705457116337e-4	0.0040467289131951335	-1.1570394540053792
QCR8	0.2052907036787581	15.964672003501217	4.649047313960694	4.7836554175395844e-4	0.004052558625512565	-1.1596597728472684
LRC8C	0.6903004229742915	12.16807191801971	4.633122605870148	4.922093769882817e-4	0.004160962616079294	-1.1892097426118422
TRXR1	0.5371468227195798	17.177252563449514	4.6330973522385035	4.922316583249261e-4	0.004160962616079294	-1.189256624296938
