file	sample	sample_name	condition	replicate
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-1-2024_Slot1-323_4015.d	day6diff_31	day6diff_31	day6diff_PC12	31
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-1-2024_Slot1-324_4017.d	day6diff_32	day6diff_32	day6diff_PC12	32
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-327_4021.d	day6diff_33	day6diff_33	day6diff_PC12	33
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-328_4023.d	day6diff_34	day6diff_34	day6diff_PC12	34
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-329_4024.d	day6diff_35	day6diff_35	day6diff_PC12	35
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-330_4026.d	day6diff_36	day6diff_36	day6diff_PC12	36
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-331_4027.d	day6diff_37	day6diff_37	day6diff_PC12	37
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-332_4029.d	day6diff_38	day6diff_38	day6diff_PC12	38
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-2-2024_Slot1-333_4030.d	day6diff_39	day6diff_39	day6diff_PC12	39
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	undiff_1	undiff_1	undiff_PC12	1
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	undiff_2	undiff_2	undiff_PC12	2
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	undiff_3	undiff_3	undiff_PC12	3
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-199_3787.d	undiff_4	undiff_4	undiff_PC12	4
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	undiff_5	undiff_5	undiff_PC12	5
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	undiff_6	undiff_6	undiff_PC12	6
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	undiff_7	undiff_7	undiff_PC12	7
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	undiff_8	undiff_8	undiff_PC12	8
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	undiff_9	undiff_9	undiff_PC12	9
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	undiff_10	undiff_10	undiff_PC12	10
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	undiff_11	undiff_11	undiff_PC12	11
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	undiff_12	undiff_12	undiff_PC12	12
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	undiff_13	undiff_13	undiff_PC12	13
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	undiff_14	undiff_14	undiff_PC12	14
