name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
KANK2,Q63ZY3,2.98E-09,5.26E-10,TRUE,TRUE,0.728,0.364,-0.364
TENS3,Q68CZ2,3.08E-06,0.00535,TRUE,TRUE,-0.703,-0.352,0.352
PKHA7,Q6IQ23,5.00E-06,0.00948,TRUE,TRUE,-0.608,-0.304,0.304
GLT17,Q6IS24,1.65E-09,4.27E-11,TRUE,TRUE,-0.961,-0.481,0.481
TEN4,Q6N022,5.82E-10,2.21E-13,TRUE,TRUE,0.869,0.435,-0.435
VWA1,Q6PCB0,1.81E-06,0.00282,TRUE,TRUE,0.89,0.445,-0.445
PSRC1,Q6PGN9,1.58E-06,0.00238,TRUE,TRUE,0.587,0.294,-0.294
PAMR1,Q6UXH9,1.30E-05,0.0241,TRUE,TRUE,0.766,0.383,-0.383
LRRN1,Q6UXK5,3.86E-07,2.99E-04,TRUE,TRUE,0.657,0.329,-0.329
RFIP1,Q6WKZ4,8.05E-11,5.40E-14,TRUE,TRUE,-1.61,-0.804,0.804
PNCB,Q6XQN6,3.72E-07,2.82E-04,TRUE,TRUE,1.12,0.559,-0.559
CD109,Q6YHK3,6.64E-09,1.10E-08,TRUE,TRUE,0.745,0.373,-0.373
KAT3,Q6YP21,4.36E-10,5.40E-14,TRUE,TRUE,-1.3,-0.65,0.65
SYNE3,Q6ZMZ3,1.04E-06,0.00132,TRUE,TRUE,0.689,0.344,-0.344
RFLA,Q6ZTI6,4.22E-11,5.40E-14,TRUE,TRUE,1.36,0.682,-0.682
TM1L2,Q6ZVM7,3.84E-06,0.00701,TRUE,TRUE,-0.743,-0.372,0.372
DPPA4,Q7L190,5.39E-06,0.0103,TRUE,TRUE,-1.35,-0.673,0.673
ASGL1,Q7L266,1.05E-06,0.00134,TRUE,TRUE,-1.25,-0.626,0.626
NRK,Q7Z2Y5,2.36E-05,0.0404,TRUE,TRUE,-1.36,-0.682,0.682
GLUCM,Q7Z3D6,7.64E-08,1.33E-05,TRUE,TRUE,-0.831,-0.416,0.416
SDK1,Q7Z5N4,1.66E-06,0.00251,TRUE,TRUE,-0.944,-0.472,0.472
CK2N1,Q7Z7J9,7.83E-07,8.86E-04,TRUE,TRUE,1.38,0.69,-0.69
PEG10,Q86TG7,1.42E-10,5.40E-14,TRUE,TRUE,-1.75,-0.876,0.876
NT5D3,Q86UY8,4.50E-06,0.00845,TRUE,TRUE,0.935,0.468,-0.468
IQGA3,Q86VI3,3.86E-07,2.99E-04,TRUE,TRUE,-0.869,-0.435,0.435
LIPB1,Q86W92,1.78E-06,0.00277,TRUE,TRUE,0.747,0.373,-0.373
BPHL,Q86WA6,1.94E-07,9.20E-05,TRUE,TRUE,-0.61,-0.305,0.305
CPNE8,Q86YQ8,9.64E-07,0.0012,TRUE,TRUE,0.86,0.43,-0.43
TMTC1,Q8IUR5,5.33E-07,5.01E-04,TRUE,TRUE,1.24,0.618,-0.618
AHNK2,Q8IVF2,2.51E-07,1.47E-04,TRUE,TRUE,-0.589,-0.294,0.294
S35F3,Q8IY50,1.70E-05,0.0306,TRUE,TRUE,0.76,0.38,-0.38
RDH10,Q8IZV5,8.12E-06,0.0154,TRUE,TRUE,1.22,0.608,-0.608
GUF1,Q8N442,1.91E-07,8.96E-05,TRUE,TRUE,-0.736,-0.368,0.368
AF1L2,Q8N4X5,1.11E-10,5.40E-14,TRUE,TRUE,1.31,0.655,-0.655
ACBD7,Q8N6N7,1.45E-06,0.00211,TRUE,TRUE,-2.2,-1.1,1.1
ANR44,Q8N8A2,1.38E-05,0.0255,TRUE,TRUE,0.8,0.4,-0.4
PMGT2,Q8NAT1,1.86E-05,0.0329,TRUE,TRUE,0.619,0.309,-0.309
SPC24,Q8NBT2,1.81E-05,0.0322,TRUE,TRUE,-0.657,-0.329,0.329
CTL5,Q8NCS7,1.06E-06,0.00135,TRUE,TRUE,-0.924,-0.462,0.462
SLAI1,Q8ND83,9.82E-07,0.00123,TRUE,TRUE,0.695,0.348,-0.348
PEPL1,Q8NDH3,2.82E-07,1.77E-04,TRUE,TRUE,0.592,0.296,-0.296
I17RD,Q8NFM7,8.11E-06,0.0154,TRUE,TRUE,0.907,0.453,-0.453
STXB6,Q8NFX7,1.52E-05,0.0278,TRUE,TRUE,-0.767,-0.383,0.383
SPT20,Q8TB22,1.34E-06,0.0019,TRUE,TRUE,0.59,0.295,-0.295
FAT3,Q8TDW7,8.13E-07,9.36E-04,TRUE,TRUE,-0.98,-0.49,0.49
ATS16,Q8TE57,4.09E-07,3.27E-04,TRUE,TRUE,-1.33,-0.665,0.665
SNED1,Q8TER0,1.11E-08,5.78E-08,TRUE,TRUE,2.02,1.01,-1.01
UBS3B,Q8TF42,8.18E-06,0.0155,TRUE,TRUE,0.756,0.378,-0.378
LRC15,Q8TF66,3.18E-07,2.19E-04,TRUE,TRUE,-2.02,-1.01,1.01
SHRM3,Q8TF72,2.48E-07,1.43E-04,TRUE,TRUE,-0.815,-0.408,0.408
CEMIP,Q8WUJ3,9.34E-07,0.00114,TRUE,TRUE,-0.645,-0.322,0.322
