name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
ANLN,Q9NQW6,1.04E-06,0.00133,TRUE,TRUE,-0.614,-0.307,0.307
S17A5,Q9NRA2,1.99E-06,0.00318,TRUE,TRUE,-1.06,-0.531,0.531
LTBP3,Q9NS15,2.64E-07,1.59E-04,TRUE,TRUE,0.898,0.449,-0.449
DECR2,Q9NUI1,2.60E-06,0.0044,TRUE,TRUE,-0.759,-0.38,0.38
SPTC3,Q9NUV7,6.76E-07,7.21E-04,TRUE,TRUE,1.15,0.574,-0.574
TMLH,Q9NVH6,4.33E-08,3.30E-06,TRUE,TRUE,-0.757,-0.379,0.379
FANCI,Q9NVI1,1.11E-06,0.00146,TRUE,TRUE,-0.735,-0.367,0.367
CELR1,Q9NYQ6,2.58E-05,0.0435,TRUE,TRUE,-0.618,-0.309,0.309
IF2B1,Q9NZI8,1.81E-06,0.00282,TRUE,TRUE,-0.749,-0.374,0.374
EHD3,Q9NZN3,8.44E-07,9.89E-04,TRUE,TRUE,0.733,0.366,-0.366
FLRT3,Q9NZU0,1.12E-05,0.0211,TRUE,TRUE,-0.599,-0.299,0.299
MTRR,Q9UBK8,1.65E-05,0.0298,TRUE,TRUE,0.666,0.333,-0.333
GULP1,Q9UBP9,4.34E-09,2.27E-09,TRUE,TRUE,-0.813,-0.407,0.407
NPS3A,Q9BS92,1.65E-07,6.73E-05,TRUE,TRUE,-1.09,-0.546,0.546
SEP3,Q9UH03,7.66E-07,8.59E-04,TRUE,TRUE,-0.733,-0.367,0.367
ATS1,Q9UHI8,2.88E-05,0.0476,TRUE,TRUE,0.829,0.414,-0.414
BORG2,Q9UKI2,5.90E-06,0.0113,TRUE,TRUE,0.695,0.348,-0.348
ALK,Q9UM73,2.48E-08,7.15E-07,TRUE,TRUE,-1.43,-0.716,0.716
XCT,Q9UPY5,4.83E-08,4.35E-06,TRUE,TRUE,-1.23,-0.613,0.613
E41L3,Q9Y2J2,4.46E-09,2.52E-09,TRUE,TRUE,-0.723,-0.361,0.361
MTO1,Q9Y2Z2,5.14E-06,0.00977,TRUE,TRUE,0.797,0.398,-0.398
UB2J1,Q9Y385,1.03E-06,0.00131,TRUE,TRUE,-0.643,-0.321,0.321
STA13,Q9Y3M8,1.67E-06,0.00254,TRUE,TRUE,-0.695,-0.348,0.348
PLXD1,Q9Y4D7,2.84E-11,5.40E-14,TRUE,TRUE,-1.43,-0.717,0.717
TIM9,Q9Y5J7,2.61E-05,0.0439,TRUE,TRUE,1.72,0.86,-0.86
ENTP2,Q9Y5L3,5.74E-06,0.011,TRUE,TRUE,1.17,0.586,-0.586
JAM1,Q9Y624,5.44E-07,5.17E-04,TRUE,TRUE,-0.815,-0.407,0.407
EMIL1,Q9Y6C2,1.88E-07,8.66E-05,TRUE,TRUE,0.771,0.386,-0.386
ENPP4,Q9Y6X5,6.16E-06,0.0118,TRUE,TRUE,0.795,0.398,-0.398
