"polyIC10ugYES"	"polyIC1ugYES"	"lipoYES"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"sp|Q9BY76|ANGL4_HUMAN"	0.567751243058705	-0.733356025622509	-0.0174107590392888	26.2658973369454	18.0585610976491	0.00028105241568543	0.0100256527966041
"sp|Q9Y6C2|EMIL1_HUMAN"	0.211052712126148	-0.613544317412661	-0.0404580350436394	26.0965096480366	16.1910380028779	0.000281936756555101	0.0100256527966041
"sp|Q9NXG2|THUM1_HUMAN"	-0.897087775298165	-0.170342273102316	-0.318404949093239	24.7042027485335	17.9996793494196	0.000284762258291251	0.0100256527966041
"sp|O14974|MYPT1_HUMAN"	-0.447419270725335	-0.188591960216203	-0.0304137278957413	27.4518588216889	16.1094741877732	0.000288089882688789	0.0100256527966041
"sp|Q9H299|SH3L3_HUMAN"	-0.150472244687557	0.578439503348964	0.603482457547587	30.6489656514533	16.0688358271099	0.00029121511060632	0.0100256527966041
"sp|Q9H0L4|CSTFT_HUMAN"	-0.490256666662484	-0.0100082427412183	-0.125119490580554	24.3126206725261	15.9817158189823	0.000298051719599354	0.0101470052094713
"sp|P54727|RD23B_HUMAN"	-0.64025574259275	-0.153692064339007	-0.0828884431453148	28.2691177282573	15.8634250855683	0.000307642155351772	0.0102667091430878
"sp|Q99623|PHB2_HUMAN"	0.592354036007717	0.167085823285001	0.0637066068528255	29.2503607110543	15.8277572493417	0.000310605566075002	0.0102667091430878
"sp|Q96CT7|CC124_HUMAN"	-0.565013808859007	-0.216167095272249	0.0153229207643584	27.4187075547203	15.7953467283896	0.00031332779767259	0.0102667091430878
"sp|O14745|NHRF1_HUMAN"	-0.435015833953843	-0.0834970040225199	0.0288569219446492	27.5128554944762	15.7490509736194	0.000317265607329856	0.0102667091430878
"sp|P51659|DHB4_HUMAN"	0.508615659554376	0.127261501311563	0.0846393399929871	27.1980429785992	15.7367520007554	0.000318321595493911	0.0102667091430878
"sp|P11279|LAMP1_HUMAN"	-0.866987665261067	-0.252763751958083	-0.0352876837193937	29.5970467356781	15.5157517931196	0.000338027583203524	0.0107887136972458
"sp|P43487|RANG_HUMAN"	-0.686640697441403	-0.191914869060431	0.00307162740013917	28.4992562231762	15.4255557123637	0.000346484473508474	0.01094462295701
"sp|Q8TEA8|DTD1_HUMAN"	-0.77129376433884	-0.101138153967351	-0.0392821887687743	25.7971175529935	15.3557179527917	0.0003532055657434	0.0109483517136735
"sp|P62256|UBE2H_HUMAN"	-0.3626288009126	0.155427859918291	-0.0655736356245823	25.7332877705356	17.0485425285191	0.000353748962027962	0.0109483517136735
"sp|P15586|GNS_HUMAN"	-0.239771205215919	0.285935491904346	0.12246662858322	28.0231506910274	15.3116746089363	0.00035752390699538	0.0109545325103384
"sp|P35754|GLRX1_HUMAN"	-0.534890196703465	-0.0040946538729614	0.162466987724152	26.953437864706	15.2054452993249	0.000368200161859962	0.0111699534251379
"sp|Q9UHV9|PFD2_HUMAN"	-0.449704232868258	-0.139086069235336	-0.0231008367443811	27.7181864285434	15.0299701000334	0.000386677464823687	0.0114469174437656
"sp|O15400|STX7_HUMAN"	-0.542508008451322	-0.121307889413634	-0.121710444490962	26.4484510579894	14.9886027256057	0.000391192560071465	0.0114469174437656
"sp|Q8ND76|CCNY_HUMAN"	0.376233953996395	0.657971044950727	-0.00981295269306181	24.4250245689671	18.9189875721571	0.000391542830231953	0.0114469174437656
"sp|P06748|NPM_HUMAN"	-0.349452901608936	0.274623576024934	0.0239871583221868	31.0679637573328	14.9787822793489	0.000392273606917554	0.0114469174437656
"sp|P22681|CBL_HUMAN"	0.460947228383367	0.0898019976797795	-0.772897354936271	24.1951971483926	18.682918173863	0.000410050365631897	0.0117001550188119
"sp|P04080|CYTB_HUMAN"	-0.63200518143523	-0.0361175249628864	-0.197015833628119	29.4874370801073	14.778804743456	0.00041507908232675	0.0117001550188119
"sp|Q12907|LMAN2_HUMAN"	-0.432509012350134	0.122537604974159	-0.0752581971608919	27.6086510016547	14.7381585946364	0.000419905032186031	0.0117001550188119
"sp|P49006|MRP_HUMAN"	-0.595889687830829	0.0719835099670393	0.0339166211687155	28.4704905023027	14.7276406248141	0.000421164675683837	0.0117001550188119
"sp|Q9NX40|OCAD1_HUMAN"	-0.64206894514776	0.0365439000689894	-0.131827518673035	26.7387680388552	14.7145706890965	0.000422736205654073	0.0117001550188119
"sp|Q07955|SRSF1_HUMAN"	-0.88389937695543	-0.294895396509373	-0.333745779158452	28.0486071969584	14.6454801834135	0.000431160329509151	0.0117001550188119
"sp|O15121|DEGS1_HUMAN"	0.570592807964985	0.138701665883913	0.133410197558871	26.2387323468562	14.6446691859836	0.00043126039141364	0.0117001550188119
"sp|Q9UBC2|EP15R_HUMAN"	-0.320390705236272	-0.138799444884951	0.116127946517539	25.7808077641036	14.6427240669382	0.000431500495145478	0.0117001550188119
"sp|Q3MHD2|LSM12_HUMAN"	-0.885918583412064	-0.146925203619893	0.144216483805302	24.8721280129894	15.9929856279888	0.000455487746463775	0.0122422320628509
"sp|O95816|BAG2_HUMAN"	-0.649083117658594	-0.116118231123934	0.000799935540396017	25.3072356420778	14.4051916934309	0.000462053048191085	0.0123107003448477
"sp|Q99614|TTC1_HUMAN"	-0.829742502841919	-0.243301413844004	-0.0716262204017125	25.6203336772969	14.362420565015	0.000467823963712668	0.0123570053863415
"sp|P14406|CX7A2_HUMAN"	-0.393542770275237	0.245456923023164	0.150001210122825	28.4183422159496	14.329606726321	0.000472309486821279	0.0123688569882085
"sp|P56385|ATP5I_HUMAN"	-0.227215259271514	0.568476392030148	0.258348979593401	28.2331574077469	15.7501318090055	0.000483694821178996	0.012533576749998
"sp|P83916|CBX1_HUMAN"	-1.13103573543769	0.0105981808216455	0.0419791062279095	26.0986599180796	15.7246058143824	0.000486780559154622	0.012533576749998
"sp|P61088|UBE2N_HUMAN"	-0.354093527284992	-0.0124586203034577	-0.00128058913187227	28.8844244952323	14.08140110112	0.000507944942198583	0.0128304136931269
"sp|Q9UBQ0|VPS29_HUMAN"	-0.436173149782386	-0.100907047712737	-0.145192663731649	26.6461842846933	14.0387277731833	0.000514388884210944	0.0128304136931269
"sp|O43765|SGTA_HUMAN"	-0.453124862854473	-0.172959788455126	-0.0148924745200745	27.0599298384153	13.9972213875321	0.000520749977584487	0.0128304136931269
"sp|P62258|1433E_HUMAN"	-0.637966563320155	-0.120260004967996	0.00269778977449889	32.0095781528684	13.9811998044217	0.000523230344129315	0.0128304136931269
"sp|Q9BVG4|PBDC1_HUMAN"	-0.529935431953819	0.0794142716224921	0.150991388636253	26.3720175235881	13.9668202009401	0.000525468466862638	0.0128304136931269
"sp|O00273|DFFA_HUMAN"	-0.43445292089871	0.0145374232063003	0.0169820370065648	26.0171064165036	13.962084497383	0.00052620804653716	0.0128304136931269
"sp|E9PAV3|NACAM_HUMAN"	-0.434115376939542	0.0835020504591455	0.086875941322847	29.0241397136136	13.9305218930265	0.000531168917087107	0.0128304136931269
"sp|P20962|PTMS_HUMAN"	-0.869208279779643	-0.436751575162152	0.0441811602807778	29.1921299929049	13.9264754886094	0.00053180892265898	0.0128304136931269
"sp|P07711|CATL1_HUMAN"	-1.22486032351802	-0.552539100884131	-0.283260792562006	25.7952801957392	20.2189740630403	0.000548877771501234	0.0130020654984212
"sp|Q9UHQ4|BAP29_HUMAN"	-1.0107938496017	-0.416553384726127	-0.0720425199166121	25.0588663737388	13.8142434272556	0.000549930855551119	0.0130020654984212
"sp|Q8NC51|PAIRB_HUMAN"	-0.559318374013055	-0.138967046579866	-0.13987094226549	29.8492354861792	13.8037996455282	0.000551654215011345	0.0130020654984212
"sp|Q99436|PSB7_HUMAN"	-1.0117080177052	-0.0930870347666602	-0.185618244384571	27.4373272216652	13.7702096138798	0.000557240666119887	0.0130334763434453
"sp|P17302|CXA1_HUMAN"	0.0240558372468072	-0.464696954466117	0.0190780036740878	25.8052297393514	13.7099555431362	0.000567431013955185	0.0131712774754446
"sp|O75822|EIF3J_HUMAN"	-0.487958066570572	-0.110548248070945	0.0393413159839267	26.3614008186852	13.5456201263571	0.000596369450569489	0.0133606895010043
"sp|Q14318|FKBP8_HUMAN"	0.393374801049297	0.11768600673928	-0.187945424499648	26.1302299923642	13.542926555174	0.000596858181702844	0.0133606895010043
"sp|Q15427|SF3B4_HUMAN"	-1.14142697266729	-0.027065555513854	-0.0803278734310999	25.1928467682236	13.5389240220536	0.000597585294524961	0.0133606895010043
"sp|O95817|BAG3_HUMAN"	-0.519284655520401	-0.139763804948177	-0.101953518802018	27.5483143739554	13.5105945933062	0.00060276189482422	0.0133606895010043
"sp|P43307|SSRA_HUMAN"	-0.405472617943901	-0.015940818286456	0.1545668222722	28.7489863167593	14.8577469995229	0.00060723418942876	0.0133606895010043
"sp|Q9H6Z4|RANB3_HUMAN"	-0.404411531534497	0.118729384068056	0.237604806743898	26.5525244441486	13.4810197306665	0.000608223001022605	0.0133606895010043
"sp|Q7L099|RUFY3_HUMAN"	-1.03173888508596	-0.118845888313241	-0.244708402092942	23.7907646525887	16.7503033984438	0.000610477135848791	0.0133606895010043
"sp|P60903|S10AA_HUMAN"	-0.504271796552496	-0.0725111672127431	0.247088337785099	32.4869796305232	13.4648761298594	0.000611228766402109	0.0133606895010043
"sp|Q15370|ELOB_HUMAN"	-0.482579608562137	-0.17345632408398	-0.132436940979161	27.820278062754	13.426732116756	0.00061840114843276	0.0133606895010043
"sp|O75380|NDUS6_HUMAN"	-0.961557008721481	-0.158887256470068	-0.291542507488059	25.8447710650915	14.7831562910039	0.000619196445542626	0.0133606895010043
"sp|Q15714|T22D1_HUMAN"	-0.496712694024558	0.234625626099999	0.0834747508236831	27.0074865082518	13.3109087684496	0.000640800676527966	0.0137301627474244
"sp|O75531|BAF_HUMAN"	-0.22219232618709	0.645047791338836	0.140139681991967	28.5099615957019	13.280561221613	0.000646828180244784	0.0137630662796529
"sp|P80303|NUCB2_HUMAN"	-0.405697027660871	-0.115833233026592	0.19528299614306	26.8437364032538	13.2404903567371	0.00065489037511713	0.0138385110990268
"sp|P12111|CO6A3_HUMAN"	0.486034718717938	-0.0857151941674026	0.309012271218789	25.1741790219024	13.0762262429446	0.000689212948801115	0.0144640306515522
"sp|P62995|TRA2B_HUMAN"	-0.87059605835381	0.0661550844349605	-0.0349296306870031	26.9419804256746	12.8828608506135	0.000732392867372788	0.0151609853583153
"sp|Q07065|CKAP4_HUMAN"	-0.292046809931977	0.0686090693947049	0.111918330403788	30.8253249217878	12.8734531882091	0.000734574389656294	0.0151609853583153
"sp|O75832|PSD10_HUMAN"	-0.672474232255234	-0.0790090246011014	-0.130006880754957	25.6204472272076	12.8611667403815	0.000737435099808896	0.0151609853583153
"sp|Q15067|ACOX1_HUMAN"	0.840496292445802	0.774837775849212	0.416036808043493	26.3997713624542	12.8407619104843	0.000742215340648596	0.0151609853583153
"sp|P21291|CSRP1_HUMAN"	-0.586595116154646	-0.207362667933757	-0.028433395343273	29.2004577602659	12.7339978240185	0.000767835385051356	0.0155804478132275
"sp|O60443|GSDME_HUMAN"	0.000249636274119114	0.602804729235581	0.0747993219390217	24.4740450081992	12.6983988942352	0.00077661057503397	0.0156548342230532
"sp|P51688|SPHM_HUMAN"	-0.291771772089852	0.0450413136389152	-0.0320893878300966	27.9625008928093	12.6258393590443	0.000794868219078181	0.0159181452500363
"sp|Q13561|DCTN2_HUMAN"	-0.338020311807027	-0.0636953122192286	0.1788929133831	28.1834570269147	12.4025455234611	0.00085433970809147	0.016998031594755
"sp|P61764|STXB1_HUMAN"	-0.0359312335890834	-0.43730972254714	-0.141932098496524	25.7810492198289	12.3701511146671	0.000863399976324549	0.0170674679190866
"sp|O75083|WDR1_HUMAN"	-0.231584324430108	0.130296749050026	-0.0697244267087752	30.2362038685304	12.3351955076813	0.000873304880078804	0.0170752356931411
"sp|P99999|CYC_HUMAN"	-0.489711264036032	-0.154206195639289	-0.222376513372092	29.0274044826353	12.3108841782426	0.000880273264925216	0.0170752356931411
"sp|Q15382|RHEB_HUMAN"	0.58997541637254	-0.0985929865287159	0.106359869678622	24.4227199868414	12.3100570628126	0.000880511501147614	0.0170752356931411
"sp|Q13838|DX39B_HUMAN"	0.125527467969557	0.444266563175336	-0.0218190594391234	27.6864779149262	12.221118701751	0.000906581432284768	0.0174702233240285
"sp|P62913|RL11_HUMAN"	-0.579529816912748	-0.240939688936242	-0.269465489652356	29.4765534180259	12.1514546190523	0.00092764350216177	0.0177643730663979
"sp|P09234|RU1C_HUMAN"	0.473660782165831	1.3849578288498	0.880630661956722	26.0239144873912	40.9744206198706	0.000937634851562207	0.0178441812744509
"sp|P01008|ANT3_HUMAN"	-0.140212669623612	-1.01417072740149	-0.246940946611919	26.033024446401	13.2424724120187	0.000943983112215781	0.0178541003446244
"sp|P17252|KPCA_HUMAN"	0.0821770532039078	-0.381937530964687	-0.281134450146752	26.0303609469842	12.0720196273484	0.000952372922910084	0.0178932984540674
"sp|Q9NRR5|UBQL4_HUMAN"	-0.540258368079558	-0.0458526221049856	-0.0991180337456292	25.6286136881711	12.0551177831785	0.000957735295844339	0.0178932984540674
"sp|Q9NRV9|HEBP1_HUMAN"	-0.705424470237954	0.117705309258993	-0.0263520892872009	26.0078778256504	14.6997423688818	0.000973580131018599	0.0180790880087333
"sp|P30533|AMRP_HUMAN"	-0.523490703752907	-0.3105507582078	-0.0674394247374342	27.327648264729	11.9676396231801	0.000986068974280899	0.0181369899154994
"sp|Q13155|AIMP2_HUMAN"	-0.390320473660324	0.0237686136529962	-0.322866038569862	26.4365194113015	11.9601614536293	0.000988536982992296	0.0181369899154994
