Protein,Protein ID,Control,Treatment,LogFC
sp|O15014|ZN609_HUMAN,O15014,3,0,-Inf
sp|O15027|SC16A_HUMAN,O15027,4,0,-Inf
sp|O15031|PLXB2_HUMAN,O15031,9,14,0.6374299206152918
sp|O15067|PUR4_HUMAN,O15067,12,4,-1.5849625007211563
sp|O15116|LSM1_HUMAN,O15116,3,0,-Inf
sp|O15126|SCAM1_HUMAN,O15126,3,2,-0.5849625007211563
sp|O15127|SCAM2_HUMAN,O15127,2,1,-1
sp|O15143|ARC1B_HUMAN,O15143,16,10,-0.6780719051126377
sp|O15144|ARPC2_HUMAN,O15144,7,7,0
sp|O15145|ARPC3_HUMAN,O15145,11,3,-1.8744691179161412
sp|O15155|BET1_HUMAN,O15155,2,1,-1
sp|O15173|PGRC2_HUMAN,O15173,4,3,-0.4150374992788438
sp|O15212|PFD6_HUMAN,O15212,4,3,-0.4150374992788438
sp|O15230|LAMA5_HUMAN,O15230,11,15,0.44745897697122117
sp|O15260|SURF4_HUMAN,O15260,2,6,1.584962500721156
sp|O15294|OGT1_HUMAN,O15294,11,3,-1.8744691179161412
sp|O15305|PMM2_HUMAN,O15305,11,6,-0.8744691179161412
sp|O15344|TRI18_HUMAN,O15344,5,5,0
sp|O15347|HMGB3_HUMAN,O15347,11,4,-1.4594316186372973
sp|O15355|PPM1G_HUMAN,O15355,11,9,-0.28950661719498483
sp|O15371|EIF3D_HUMAN,O15371,11,10,-0.13750352374993496
sp|O15372|EIF3H_HUMAN,O15372,8,4,-1
sp|O15382|BCAT2_HUMAN,O15382,4,7,0.8073549220576041
sp|O15438|MRP3_HUMAN,O15438,3,12,2
sp|O15439|MRP4_HUMAN,O15439,3,4,0.41503749927884376
sp|O15446|RPA34_HUMAN,O15446,2,0,-Inf
sp|O15460|P4HA2_HUMAN,O15460,10,6,-0.7369655941662062
sp|O15511|ARPC5_HUMAN,O15511,5,3,-0.7369655941662062
sp|O15533|TPSN_HUMAN,O15533,2,1,-1
sp|O43143|DHX15_HUMAN,O43143,7,14,1
sp|O43169|CYB5B_HUMAN,O43169,14,8,-0.8073549220576042
sp|O43172|PRP4_HUMAN,O43172,3,5,0.7369655941662062
sp|O43175|SERA_HUMAN,O43175,10,6,-0.7369655941662062
sp|O43237|DC1L2_HUMAN,O43237,3,2,-0.5849625007211563
